city,location_id,location_name,country,latitude,longitude,sensor_id,parameter,unit,date,value
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,77.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,79.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,69.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,80.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,55.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,121.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,83.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,66.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,45.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,68.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,96.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,92.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,56.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,67.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,52.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,65.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,73.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,44.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,38.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,56.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,58.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,80.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,104.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,51.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,41.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,54.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,48.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,55.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,83.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,63.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,77.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,72.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,48.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,61.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,94.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,92.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,52.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,62.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,55.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,105.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,76.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,117.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,37.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,67.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,57.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,60.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,80.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,77.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,68.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,64.8
